IATA_Code,Airport,City
LZU,Gwinnett County Airport,Suwanee
LZY,Nyingchi Mainling Airport,Mainling
MAA,Chennai Airport,Pallavaram
MAB,Maraba Airport,
MAC,Smart,
MAD,Adolfo Suarez Madrid-Barajas Airport,Barajas de Madrid
MAE,Madera,Madera
MAF,Midland International Airport,
MAG,Madang Airport,
MAH,Menorca Airport,Sant Lluis
MAI,Mangochi,Mangochi
MAJ,Amata Kabua International Airport,Majuro
MAK,Malakal,Malakal
MAL,Mangole,
MAM,Matamoros Airport,Heroica Matamoros
MAN,Manchester Airport,Ringway
MAO,Eduardo Gomes International Airport,
MAP,Mamai,
MAQ,Mae Sot Airport,Mae Sot
MAR,La Chinita Airport,San Francisco
MAS,Momote Airport,Lorengau
MAT,Matadi,Matadi
MAU,Maupiti,Vaitape
MAV,Maloelap Island,Taroa
MAW,Malden,Malden
MAX,Matam,Ouro Sogui
MAY,Mangrove Cay,
MAZ,Eugenio M. De Hostos Airport,Anasco
MBA,Moi International Airport,Mombasa
MBB,Marble Bar,
MBC,Mbigou,Mbigou
MBD,Mmabatho International Airport,Mmabatho
MBE,Monbetsu Airport,Mombetsu
MBF,Mount Buffalo,
MBG,Mobridge,Mobridge
MBH,Maryborough,Maryborough
MBI,Mbeya Airport,Mbeya
MBJ,Sangster International Airport,Montego Bay
MBK,Matupa,Alta Floresta
MBL,Blacker Airport,Manistee
MBM,Mkambati,Bizana
MBN,Mt Barnett,
MBO,Mamburao,Mamburao
MBP,Moyobamba,Yorongos
MBQ,Mbarara,Mbarara
MBR,Mbout,
MBS,MBS International Airport,Freeland
MBT,Masbate Airport,Tumalaytay
MBU,Mbambanakira,
MBV,Masa,
MBW,Moorabbin,Heatherton
MBX,Maribor International Airport,Maribor
MBY,Moberly,Moberly
MBZ,Maues,Maues
MCA,Macenta,Macenta
MCB,Pike County,Magnolia
MCC,Mcclellan AFB,North Highlands
MCD,Mackinac Island,Saint Ignace
MCE,Merced Municipal Airport,
MCF,Mac Dill AFB,
MCG,McGrath Airport,
MCH,Machala,Puerto Bolivar
MCI,Kansas City International Airport,Weatherby Lake
MCJ,Maicao,Maicao
MCK,Mc Cook Airport,McCook
MCL,Mt Mckinley,
MCM,Fontvieille Heliport,Monaco
MCN,Lewis B Wilson,
MCO,Orlando International Airport,Taft
MCP,Macapa International Airport,Macapa
MCQ,Miskolc,Arnot
MCR,Melchor De Menco,Chiquinival
MCS,Monte Caseros,Monte Caseros
MCT,Muscat International Airport,Bawshar
MCU,Gueret (Lepaud),Montlucon
MCV,Mcarthur River Airport,
MCW,Mason City Airport,Clear Lake
MCX,Makhachkala Airport,Kaspiysk
MCY,Sunshine Coast Airport,Coolum Beach
MCZ,Maceio-Zumbi dos Palmares International Airport,Satuba
MDA,Martindale Army Heliport,San Antonio
MDB,Melinda,Dangriga
MDC,Sam Ratulangi International Airport,Tatelu
MDD,Airpark,Midland
MDE,Jose Maria Cordova International Airport,Rionegro
MDF,Medford,Medford
MDG,Mudanjiang Airport,Xinglong
MDH,Southern Illinois,De Soto
MDI,Makurdi,Makurdi
MDJ,City-county,Warm Springs
MDK,Mbandaka,Mbandaka
MDL,Mandalay International Airport,
MDM,Munduku,
MDN,Jefferson Proving Grd,Madison
MDO,Intermediate,
MDP,Mindiptana,
MDQ,Mar Del Plata Airport,
MDR,Medfra,
MDS,Middle Caicos,
MDT,Harrisburg International Airport,Middletown
MDU,Mendi Airport,
MDV,Medouneu,
MDW,Chicago Midway International Airport,Stickney
MDX,Mercedes,Mercedes
MDY,Sand Island Field,
MDZ,El Plumerillo International Airport,Las Heras
MEA,Macae,Macae
MEB,Essendon Airport,Niddrie
MEC,Manta Airport,Manta
MED,Prince Mohammad Bin Abdulaziz International Airport,Medina
MEE,Mare Airport,
MEF,Melfi,Melfi
MEG,Malange,Malanje
MEH,Mehamn Airport,Mehamn
MEI,Key Field,Meridian
MEJ,Meadville,Meadville
MEK,Meknes,Meknes
MEL,Tullamarine Airport,Attwood
MEM,Memphis International Airport,Southaven
MEN,Brenoux,Mende
MEO,Dare County Regional,Manteo
MEP,Mersing,Mersing
MEQ,Seunagan,Meulaboh
MER,Castle AFB,Merced
MES,Polonia,Medan
MET,Moreton,
MEU,Monte Dourado,Almeirim
MEV,Douglas County,Minden
MEW,Mweka,Mweka
MEX,Benito Juarez International Airport,Venustiano Carranza
MEY,Meghauli,Bharatpur
MEZ,Messina,
MFA,Mafia,Kilindoni
MFB,Monfort,
MFC,Mafeteng,Mafeteng
MFD,Lahm Municipal,Lincoln Heights
MFE,McAllen International Airport,McAllen
MFF,Moanda,Moanda
MFG,Muzaffarabad,Muzaffarabad
MFH,Mesquite,Mesquite
MFI,Municipal,Marshfield
MFJ,Moala,
MFK,Matsu Beigan Airport,Nangan
MFL,Mount Full Stop,
MFM,Macau International Airport,
MFN,Milford Sound,
MFO,Manguna,
MFP,Manners Creek,
MFQ,Maradi,Maradi
MFR,Rogue Valley International-Medford Airport,Medford
MFS,Miraflores,Miraflores
MFT,Machu Picchu,Santa Teresa
MFU,Mfuwe,Chipata
MFV,Accomack County,Onancock
MFW,Magaruque,
MFX,Meribel,Meribel
MFY,Mayfa'ah,Al Wuday`
MFZ,Mesalia,
MGA,Augusto C Sandino International Airport,Managua
MGB,Mount Gambier Airport,Mount Gambier
MGC,Michigan City Airport,Trail Creek
MGD,Magdalena,
MGE,Dobbins AFB,
MGF,Regional De Maringa,Maringa
MGG,Margarima,
MGH,Margate Airport,Margate
MGI,Aransas National Wildlife Refuge,Port O'Connor
MGJ,Orange County,Montgomery
MGK,Mong Ton,
MGL,Moenchen-gl. - Dus Exp,Krefeld
MGM,Montgomery Regional Airport,
MGN,Baracoa,Magangue
MGO,Manega,Fougamou
MGP,Manga,
MGQ,Mogadishu International Airport,Mogadishu
MGR,Moultrie Municipal,
MGS,Mangaia Island,
MGT,Milingimbi,
MGU,Manaung,Sittwe
MGV,Margaret River,
MGW,Morgantown Airport,Brookhaven
MGX,Moabi,
MGY,Dayton-Wright Brothers Airport,Union
MGZ,Myeik Airport,Myeik
MHA,Mahdia,
MHB,Mechanics Bay,
MHC,Mocopulli Airport,
MHD,Mashhad International Airport,Mashhad
MHE,Municipal,Mitchell
MHF,Morichal,
MHG,Mannheim Airport,Mannheim
MHH,Marsh Harbour International Airport,Marsh Harbour
MHI,Musha,Danan
MHK,Manhattan Municipal Airport,Ogden
MHL,Memorial Municipal,Marshall
MHM,Intermediate,
MHN,Mullen,Mullen
MHO,Mount House,
MHP,Minsk International 1,Syenitsa
MHQ,Mariehamn Airport,Mariehamn
MHR,Sacramento Mather Airport,
MHS,Rep,Mount Shasta
MHT,Manchester Boston Regional Airport,Manchester
MHU,Mount Hotham,Mount Beauty
MHV,Kern County,Mojave
MHW,Monteagudo,Monteagudo
MHX,Manihiki Island,
MHY,Morehead,
MHZ,Mildenhall Airport,Lakenheath
MIA,Miami International Airport,Virginia Gardens
MIB,Minot AFB,
MIC,Crystal,Brooklyn Center
MID,Manuel Crescencio Rejon International Airport,Itzincab Palomeque
MIE,Delaware County,Muncie
MIF,Roy Hurd Memorial,Monahans
MIG,Mianyang Nanjiao Airport,Mianyang
MIH,Mitchell Plateau,
MII,Dr Gastao Vidigal Airport,Marilia
MIJ,Mili Island,Mili
MIK,Mikkeli,Mikkeli
MIM,Merimbula Airport,Merimbula
MIN,Minnipa,Streaky Bay
MIO,Miami,Miami
MIP,Mitspeh Ramon,Mitzpe Ramon
MIQ,Simón Bolívar International,
MIR,Habib Bourguiba International Airport,Sahline
MIS,Misima Island,
MIT,Kern County,Shafter
MIU,Maiduguri,Maiduguri
MIV,Millville,Millville
MIW,Municipal,Conrad
MIX,Miriti,
MIY,Mittiebah,
MIZ,Mainoru,
MJA,Manja,
MJB,Mejit Island,Mejit
MJC,Man,Man
MJD,Mohenjodaro,Dokri
MJE,Majkin,
MJF,Kjaerstad Airport,Mosjoen
MJG,Mayajigua,Venezuela
MJI,Mitiga Tripoli Airport,Tagiura
MJJ,Moki,
MJK,Shark Bay,
MJL,Mouila,Mouila
MJM,Mbuji-Mayi,Mbuji-Mayi
MJN,Amborovy,Mahajanga
MJO,Mount Etjo Lodge,
MJP,Manjimup,Manjimup
MJQ,Jackson,Jackson
MJR,Miramar,Miramar
MJS,Maganja Da Costa,Ressano Garcia
MJT,Mytilene International Airport,Vareia
MJU,Tampa Padang Airport,Mamuju
MJV,Murcia-San Javier Airport,San Javier
MJW,Mahenye,Chiredzi
MJX,Robert J. Miller,Toms River
MJY,Mangunjaya,Babat
MJZ,Mirnyj Airport,Mirny
MKA,Marianske Lazne,Marianske Lazne
MKB,Mekambo,
MKC,Charles B. Wheeler Downtown Airport,Kansas City
MKE,General Mitchell International Airport,Saint Francis
MKG,Muskegon Airport,Norton Shores
MKH,Mokhotlong,
MKI,Mboki,Obo
MKJ,Makoua,Makoua
MKK,Molokai Airport,Kualapu'u
MKL,Mckellar Airport,Jackson
MKM,Mukah Airport,
MKN,Malekolon,
MKO,Davis Field,Muskogee
MKP,Makemo,
MKQ,Mopah Airport,
MKR,Meekatharra,
MKS,Mekane Selam,Debre Tabor
MKT,Municipal,Eagle Lake
MKU,Makokou,Makokou
MKV,Mt Cavenagh,
MKW,Rendani Airport,Manokwari
MKY,Mackay Airport,Mackay
MKZ,Malacca International Airport,Batu Berendam
MLA,Malta International Airport,Luqa
MLB,Orlando Melbourne International Airport,Melbourne
MLC,Mc Alester,McAlester
MLD,Malad City,Malad City
MLE,Male International Airport,Male
MLF,Milford,Milford
MLG,Abdul Rachman Saleh Airport,Singosari
MLH,EuroAirport Basel-Mulhouse-Freiburg,Hesingue
MLI,Quad City International Airport,Coal Valley
MLJ,Baldwin County,Milledgeville
MLK,Malta,Malta
MLL,Marshall Don Hunter Sr. Airport,
MLM,Morelia Airport,Alvaro Obregon
MLN,Melilla Airport,Melilla
MLO,Milos Airport,Adamas
MLP,Malabang,Malabang
MLQ,Malalaua,
MLR,Millicent,Millicent
MLS,Municipal,Miles City
MLT,Millinocket,Millinocket
MLU,Monroe Regional Airport,Lakeshore
MLV,Merluna,
MLW,Sprigg Payne,Monrovia
MLX,Malatya Airport,Yesilyurt
MLY,Manley Hot Springs,
MLZ,Cerro Largo,Melo
MMA,Malmö Bulltofta Airport,Arloev
MMB,Memanbetsu Airport,Bihoro
MMC,Ciudad Mante,Ciudad Mante
MMD,Maridor,
MME,Durham Tees Valley Airport,Bishopton
MMF,Mamfe,Mamfe
MMG,Mount Magnet,
MMH,Mammoth Lakes Airport,Mammoth Lakes
MMI,McMinn County,Decatur
MMJ,Matsumoto Airport,Matsumoto
MMK,Murmansk Airport,Murmashi
MML,Municipal-Ryan Field,Marshall
MMM,Middlemount,Tieri
MMN,Minute Man Airfield,Stow
MMO,Vila Do Maio,Vila do Maio
MMP,Mompos,Mompos
MMQ,Mbala,Mbala
MMR,Camp Maybry AHP,Austin
MMS,Selfs,Marks
MMT,Mc Entire ANG Base,Springdale
MMU,Morristown Municipal Airport,Florham Park
MMV,Mal,Lafayette
MMW,Moma,Antonio Enes
MMX,Malmo Airport,Genarp
MMY,Miyako Airport,
MMZ,Maimana,Maymana
MNA,Melangguane,Lirung
MNB,Moanda,
MNC,Nacala,Nacala
MND,Medina,Medina
MNE,Mungeranie,
MNF,Mana Island Airstrip,
MNG,Maningrida Airport,
MNH,Minneriya,Kalmunai
MNI,Bramble Airport,Saint Peters
MNJ,Mananjary,Mananjary
MNK,Maiana,Tarawa
MNL,Ninoy Aquino International Airport,Makati City
MNM,Menominee,Marinette
MNN,Municipal,Marion
MNO,Manono,Kabalo
MNP,Maron,
MNQ,Monto,
MNR,Mongu,Mongu
MNS,Mansa,Mansa
MNT,Minto,
MNU,Maulmyine,Mawlamyine
MNV,Mountain Valley,
MNW,Macdonald Downs,
MNX,Manicore,Manicore
MNY,Mono,
MNZ,Manassas Regional Airport/Harry P. Davis Field,Manassas
MOA,Orestes Acosta,Moa
MOB,Mobile Regional Airport,Tillmans Corner
MOC,Montes Claros Airport,Montes Claros
MOD,Modesto Municipal Airport,Bystrom
MOE,Momeik,Mogok
MOF,Wai Oti Airport,Waioti
MOG,Mong Hsat,Mae Ai
MOH,Maleo Airport,Malili
MOI,Mitiaro Island,
MOJ,Moengo,Moengo
MOK,Muynak Airport,Muynak
MOL,Molde Airport Aro,Molde
MOM,Moudjeria,Barkewol
MON,Mount Cook Airport,
MOO,Moomba,
MOP,Municipal,Mount Pleasant
MOQ,Morondava Airport,Morondava
MOR,Moore-Murrell,Morristown
MOS,Intermediate,
MOT,Minot International Airport,Minot
MOU,Mountain Village Airport,
MOV,Moranbah Airport,Moranbah
MOX,Municipal,Morris
MOY,Monterrey,Monterrey
MOZ,Temae Airport,Teavaro
MPA,Mpacha,
MPB,Miami Sea Plane Base,
MPC,Muko-Muko,Sungai Penuh
MPD,Mirpur Khas,Mirpur Khas
MPE,Griswold,Madison
MPF,Mapoda,
MPG,Makini,
MPH,Boracay Airport,Caticlan
MPI,Mamitupo,Maria Chiquita
MPJ,Petit Jean Park,Morrilton
MPK,Mokpo,Moppo
MPL,Montpellier Mediterranee Airport,Perols
MPM,Maputo International Airport,
MPN,Mount Pleasant,
MPO,Mt Pocono,Mount Pocono
MPP,Mulatupo,
MPQ,Maan,Ma'an
MPR,Mcpherson,McPherson
MPS,Mount Pleasant,Mount Pleasant
MPT,Maliana,Akubala
MPU,Mapua,
MPV,Edward F Knapp State,Montpelier
MPW,Mariupol,Mariupol
MPX,Miyanmin,
MPY,Maripasoula,
MPZ,Municipal,Mount Pleasant
MQA,Mandora,Broome
MQB,Municipal,Macomb
MQC,Miquelon Airport,Miquelon
MQD,Maquinchao,Maquinchao
MQE,Marqua,
MQF,Magnitogorsk Airport,Magnitogorsk
MQG,Midgard,Okahandja
MQH,Municipal,Cavalcante
MQI,Quincy,Quincy
MQJ,Moma,
MQK,San Matias,San Matias
MQL,Mildura Airport,Mildura
MQM,Mardin Airport,Kiziltepe
MQN,Mo i Rana Airport,Mo i Rana
MQO,Malam,
MQP,Kruger Mpumalanga International Airport,White River
MQQ,Moundou,Moundou
MQR,Mosquera,Mosquera
MQS,Mustique,Port Elizabeth
MQT,Sawyer International Airport,K. I. Sawyer Air Force Base
MQU,Mariquita,Mariquita
MQV,Mostaganem,Mostaganem
MQW,Telfair-Wheeler,Helena
MQX,Makale Airport,Mekele
MQY,Smyrna,Smyrna
MQZ,Margaret River,Margaret River
MRA,Misurata Airport,Misratah
MRB,Eastern Wv Regional Airport/Shepherd Field,Martinsburg
MRC,Maury County,Columbia
MRD,A Carnevalli,Merida
MRE,Mara Lodges Airport,
MRF,Municipal,Marfa
MRG,Mareeba,
MRH,May River,
MRI,Merrill Field,Anchorage
MRJ,Marcala,Marcala
MRK,Marco Island,Marco
MRL,Miners Lake,Charters Towers
MRM,Manare,
MRN,Lenoir,Morganton
MRO,Masterton/Hood Aerodrome,Masterton
MRP,Marla,
MRQ,Marinduque,Masiga
MRR,Macara,Macara
MRS,Marseille Provence Airport,Saint-Victoret
MRT,Moroak,
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien
MRV,Mineralnye Vody Airport,Andzhiyevskiy
MRW,Maribo,Holeby
MRX,Mahshahr Airport,Bandar-e Mahshahr
MRY,Monterey Regional Airport,Del Rey Oaks
MRZ,Moree Airport,Moree
MSA,Muskrat Dam,
MSB,Marigot SPB,
MSC,Falcon Field,Mesa
MSD,Mt Pleasant,Mount Pleasant
MSE,Kent International,Westgate on Sea
MSF,Mount Swan,
MSG,Matsaile,
MSH,Masirah,Badiyah
MSI,Masalembo,Perreng
MSJ,Misawa,Misawa
MSK,Mastic Point,
MSL,Northwest Alabama Regional Airport,Muscle Shoals
MSM,Masi Manimba,Bulungu
MSN,Dane County Regional Airport,Maple Bluff
MSO,Missoula International Airport,Orchard Homes
MSP,Minneapolis-St. Paul International Airport,Richfield
MSQ,Minsk National Airport,Smilavichy
MSR,Mus Airport,Haskoy
MSS,Richards Field,Massena
MST,Maastricht Aachen Airport,Elsloo
MSU,Moshoeshoe International Airport,Maseru
MSV,Sullivan County International,Liberty
MSW,Massawa International,Massawa
MSX,Mossendjo,Mossendjo
MSY,Louis Armstrong New Orleans International Airport,Kenner
MSZ,Yuri Gagarin Airport,Namibe
MTA,Matamata,Matamata
MTB,Monte Libano,Montelibano
MTC,Selfridge ANGB,Mount Clemens
MTD,Mt Sandford,
MTE,Monte Alegre,Monte Alegre
MTF,Mizan Teferi,
MTG,Mato Grosso,Diamantino
MTH,Florida Keys Marathon Airport,Marathon
MTI,Mosteiros,Porto dos Mosteiros
MTJ,Montrose Regional Airport,Montrose
MTK,Makin Island,Makin Village
MTL,Maitland,Maitland
MTM,SPB,
MTN,Glenn L Martin,Bowleys Quarters
MTO,Coles County Memorial,Mattoon
MTP,Montauk Airport,Montauk
MTQ,Mitchell,
MTR,Los Garzones Airport,Cerete
MTS,Matsapha International,Kwaluseni
MTT,Minatitlan Airport,Minatitlan
MTU,Montepuez,Montepuez
MTV,Mota Lava,
MTW,Municipal,Manitowoc
MTX,Metro Field,College
MTY,Gen Mariano Escobedo Airport,Ladrillera (Entronque Pesqueria)
MTZ,Masada,Mas`adah
MUA,Munda Airport,
MUB,Maun Airport,
MUC,Franz Josef Strauss Airport,Hallbergmoos
MUD,Mueda,Newala Kisimani
MUE,Kamuela,Waimea
MUF,Muting,
MUG,Mulege,
MUH,Mersa Matruh,Mersa Matruh
MUI,Muir AAF,Jonestown
MUJ,Mui,Mizan Teferi
MUK,Mauke Island,
MUL,Spence,Moultrie
MUN,Jose Tadeo Monagas International Airport,Maturin
MUO,Mountain Home AFB,Mountain Home
MUP,Mulga Park,
MUQ,Muccan,
MUR,Marudi Airport,
MUS,Marcus Island,
MUT,Muscatine,Muscatine
MUU,Mount Union,Mount Union
MUW,Mascara-Ghriss,Mascara
MUX,Multan Airport,Multan
MUY,Mouyondzi,Madingou
MUZ,Musoma Airport,Musoma
MVA,Reykiahlid,Laugar
MVB,Franceville/Mvengue,Franceville
MVC,Monroe - Walton County,Monroeville
MVD,Carrasco International Airport,Paso de Carrasco
MVE,Montevideo-Chippewa,Montevideo
MVF,Dixsept Rosado,Mossoro
MVG,Mevang,Ndjole
MVH,Macksville,Macksville
MVI,Manetai,
MVJ,Marlboro,Mandeville
MVK,Mulka,
MVL,Morrisville-Stowe,Morrisville
MVM,Monument Valley,Kayenta
MVN,Mt Vernon-Outland,Mount Vernon
MVO,Mongo,Mongo
MVP,Mitu,
MVQ,Mogilev,Vishow
MVR,Salam,Maroua
MVS,Aeroporto Max Feffer,Mucuri
MVT,Mataiva,
MVU,Musgrave,Cooktown
MVV,Megeve,Megeve
MVW,Skagit Regional,Mount Vernon
MVX,Minvoul,Bitam
MVY,Martha's Vineyard Airport,
MVZ,Masvingo,Masvingo
MWA,Williamson County Airport,Energy
MWB,Morawa,Dongara
MWC,Lawrence J Timmerman,
MWD,Mianwali,Mianwali
MWE,Merowe,Marawi
MWF,Maewo,
MWG,Marawaka,
MWH,Grant County,Moses Lake North
MWI,Maramuni,
MWJ,Matthews Ridge,Bartica
MWK,Matak,
MWL,Mineral Wells Airport,Mineral Wells
MWM,Windom Municipal,Windom
MWN,Mwadui,Mwadui
MWO,Hook Field,Middletown
MWP,Mountain,
MWQ,Magwe,Magway
MWR,Motswari Airfield,
MWS,Mount Wilson,Sierra Madre
MWT,Moolawatana,
MWU,Mussau,
MWV,Mundulkiri,Senmonourom
MWX,Muan International Airport,Muan
MWY,Miranda Downs,
MWZ,Mwanza Airport,Mwanza
MXA,Municipal,Manila
MXB,Masamba,Masamba
MXC,San Juan County,Monticello
MXD,Marion Downs,
MXE,Maxton,Maxton
MXF,Maxwell AFB,Montgomery
MXG,Marlborough,Marlborough
MXH,Moro Airport,
MXI,Imelda Romualdez Marcos,Mati
MXJ,Minna,Minna
MXK,Mindik,
MXL,Mexicali Airport,Islas Agrarias Grupo A
MXM,Morombe,
MXN,Morlaix,Saint-Martin-des-Champs
MXO,Municipal,Monticello
MXP,Milano Malpensa Airport,Vizzola Ticino
MXQ,Lorenzo Airport,Cairu
MXR,Mirgorod,Myrhorod
MXS,Maota Savaii Island,Safotulafai
MXT,Maintirano,
MXU,Mullewa,Waggrakine
MXV,Moron,Murun-kuren
MXW,Mandalgobi,Mandalgovi
MXX,Mora Airport,Mora
MXY,Mccarthy,
MXZ,Mei Xian Airport,Sanjiao
MYA,Moruya Airport,Broulee
MYB,Mayoumba,Mayumba
MYC,Maracay,Moron
MYD,Malindi Airport,Malindi
MYE,Miyake Jima,Shimoda
MYF,Montgomery Field,
MYG,Mayaguana Airport,
MYH,Marble Canyon,
MYI,Murray Island,
MYJ,Matsuyama Airport,Masaki-cho
MYK,May Creek,
MYL,Mccall,McCall
MYM,Monkey Mountain,
MYN,Mareb,Ma'rib
MYO,Myroodah,
MYP,Mary Airport,Mary
MYQ,Mysore,Mysore
MYR,Myrtle Beach International Airport,Myrtle Beach
MYT,Myitkyina Airport,Myitkyina
MYU,Ellis Field,
MYV,Yuba County,Olivehurst
MYW,Mtwara Airport,Mtwara
MYX,Menyamya,
MYY,Miri Airport,Miri
MYZ,Monkey Bay,Chipoka
MZA,Mayor Pnp Nancy Flore Airport,Mazamari
MZB,Mocimboa Praia,Mocimboa
MZC,Mitzic,Mitzic
MZD,Mendez,
MZE,Manatee,
MZF,Mzamba(Wild Coast Sun),Butterworth
MZG,Magong Airport,
MZH,Merzifon Airport,Merzifon
MZI,Mopti,Mopti
MZJ,Marana,Avra Valley
MZK,Marakei,Rawannawi Village
MZL,La Nubia Airport,Villamaria
MZM,Frescaty,Marly
MZN,Minj,
MZO,Sierra Maestra Airport,Manzanillo
MZP,Motueka,Motueka
MZQ,Mkuze,Mkuze
MZR,Mazar-I-Sharif Airport,Mazar-e Sharif
MZS,Mostyn,
MZT,Mazatlan International Airport,Villa Union
MZU,Muzaffarpur,Muzaffarpur
MZV,Mulu Airport,
MZW,Mechria,Naama
MZX,Mena,Goba
MZY,Mossel Bay,Mossel Bay
MZZ,Marion,Jonesboro
NAA,Narrabri,
NAB,Albany NAS,Albany
NAC,Naracoorte,Naracoorte
NAD,Macanal,Maroa
NAE,Natitingou,Natitingou
NAF,Banaina,Long Beluah
NAG,Dr. Babasaheb Ambedkar International Airport,Nagpur
NAH,Naha,Enemawira
NAI,Annai,
NAJ,Nakhichevan Airport,Tazakend
NAK,Nakhon Ratchasima,Nakhon Ratchasima
NAL,Nalchik Airport,Nartan
NAM,Namlea,Namlea
NAN,Nadi International Airport,
NAO,Nanchong Airport,Nanchong
NAP,Naples International Airport,Casavatore
NAQ,Qaanaaq Airport,
NAR,Nare,
NAS,Lynden Pindling International Airport,
NAT,Sao Goncalo do Amarante-Governador Aluizio Alves Intl Airport,Parnamirim
NAU,Napuka Island,
NAV,Nevsehir,Nevsehir
NAW,Narathiwat Airport,Bacho
NAY,Beijing Nanyuan Airport,Nanyuan
NAZ,Nana,
NBA,Nambaiyufa,Goroka
NBB,Barrancominas,
NBC,Begishevo Airport,Yelabuga
NBE,Enfidha - Hammamet International Airport,Harqalah
NBG,NAS/Alvin Callendar,Timberlane
NBH,Nambucca Heads,Nambucca
NBJ,Dr. Antonio Agostinho Neto International Airport,
NBL,San Blas,El Progreso
NBN,Annobón,Pale
NBO,Jomo Kenyatta International Airport,Pumwani
NBS,Changbaishan Airport,Manjiang
NBU,NAS,Glenwood Springs
NBV,Cana Brava,Joao Pinheiro
NBW,Guantanamo NAS,Guantanamo
NBX,Nabire,
NCA,North Caicos,
NCE,Cote D'Azur Airport,Saint-Laurent-du-Var
NCG,Nueva Casas Grandes,Nuevo Casas Grandes
NCH,Nachingwea,Nachingwea
NCI,Necocli,
NCJ,Sunchales,Sunchales
NCL,Newcastle International Airport,Ponteland
NCN,New Chenega,
NCO,NAS,West Tisbury
NCR,San Carlos,San Carlos
NCS,Newcastle,Newcastle
NCT,Guanacaste,
NCU,Nukus Airport,Nukus
NCY,Annecy-Meythe,Metz-Tessy
NDA,Bandanaira,Werinama
NDB,Nouadhibou Airport,
NDC,Nanded,Nanded
NDD,Sumbe,
NDE,Mandera,Mandera
NDF,Ndalatandos,N'dalatando
NDG,Qiqihar Airport,Nanhang
NDI,Namudi,
NDJ,Ndjamena Airport,N'Djamena
NDK,Namdrik Island,Namdrik
NDL,Ndele,Ndele
NDM,Mendi,Mendi
NDN,Nadunumu,
NDO,La Palma Del Condado,Villarrasa
NDR,Nador International Airport,Selouane
NDS,Sandstone,
NDU,Rundu,Rundu
NDV,USN Heliport,
NDY,Sanday,
NEA,Brunswick Golden Isles,Country Club Estates
NEC,Necochea,Necochea
NEF,Neftekamsk,Neftekamsk
NEG,Negril,Negril
NEI,Terney Airport,Terney
NEJ,Nejjo,Nejo
NEK,Nekemt,
NEL,Naec,Lakehurst
NEN,Olf Usn,Baldwin
NER,Neryungri Airport,Neryungri
NES,East 34th St Landing,
NET,New Bight,
NEU,Sam Neua,Xam Nua
NEV,Newcastle Airport,Newcastle
NEW,Lakefront Airport,Arabi
NFB,Detroit NAF,Capac
NFG,Nefteyugansk,Barsovo
NFL,Fallon Naval Air Station (Van Voorhis Field),Fallon
NFO,Mata'aho,
NFR,Nafoora,Gialo
NGA,Young,Young
NGB,Ningbo Airport,Gulin
NGC,North Rim,Grand Canyon
NGD,Captain Auguste George,
NGE,Ngaoundéré,Ngaoundere
NGF,Marine Corps Air Station Kaneohe Bay,Marine Corps Base Hawaii - MCBH
NGI,Ngau Island,Levuka
NGK,Nogliki Airport,Nogliki
NGL,Ngala Airfield,Lisala
NGN,Nargana,Palmira
NGO,Chubu Centrair International Airport,Tokoname
NGP,NAS,
NGQ,Ngari Gunsa/Ali Kunsha,
NGR,Ningerum,
NGS,Nagasaki Airport,
NGU,NAS Chambers,Columbia
NGW,Cabaniss Field,Corpus Christi
NGX,Manang,Kathmandu
NGZ,NAS,Alameda
NHA,Nha Trang,Nha Trang
NHD,Minhad AB,Dubai
NHF,New Halfa,Aroma
NHK,Patuxent River NAS,Drum Point
NHS,Nushki,Nushki
NHT,Northolt,Greenford
NHV,Nuku Hiva Airport,
NHX,Barin Olf Osn,Foley
NHZ,NAS,Brunswick
NIA,Nimba,New Yekepa
NIB,Nikolai,
NIC,Nicosia International,Kato Deftera
NIE,Niblack,
NIF,Nifty Airport,
NIG,Nikunau,
NIK,Niokolo Koba,
NIM,Niamey Airport,Niamey
NIN,Ninilchik,
NIO,Nioki,Nioki
NIP,Jacksonville NAS,
NIR,Chase Field NAS,Beeville
NIS,Simberi,
NIT,Niort,Niort
NIU,Niau,
NIX,Nioro,Nioro
NJA,Atsugi NAS,Atsugi
NJC,Nizhnevartovsk Airport,Nizhnevartovsk
NJF,Al-Najaf International Airport,An Najaf
NJJ,Nenjian Melgen Airport,Changfu
NJK,El Centro NAF,
NKA,Nkan,Ntoum
NKB,Noonkanbah,Derby
NKC,Nouakchott International Airport,Nouakchott
NKD,Sinak,Batang
NKG,Nanjing Lukou International Airport,Lukou
NKI,Naukiti,
NKL,Nkolo,Bolobo
NKM,Nagoya Airport,Komaki
NKN,Nankina,
NKO,Ankokoambo,Coracao de Jesus
NKP,Nakhon Phanom Airport,Nakhon Phanom
NKS,Nkongsamba,Nkongsamba
NKT,Shirnak,Tililan
NKU,Nkaus,
NKV,Nichen Cove,
NKX,Miramar MS,Poway
NKY,Nkayi,Kayes
NLA,Simon Mwansa Kapwepwe International Airport,Ndola
NLC,Lemoore NAS (Reeves Field),Lemoore
NLD,Quetzalcoatl International Airport,Nuevo Laredo
NLE,Jerry Tyler Memorial,Niles
NLF,Darnley Island,
NLG,Nelson Lagoon,
NLH,Ninglang Luguhu Airport,Daxing
